Id,Size,Region,Name,Provider,AverageVmCpuUtilPercent,Time,VmDiskSizeGb
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-01,Standard_D4s_v3,eastus,web-vm-01,azure,45.2,2024-01-01 00:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-01,Standard_D4s_v3,eastus,web-vm-01,azure,47.8,2024-01-01 01:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-01,Standard_D4s_v3,eastus,web-vm-01,azure,52.3,2024-01-01 02:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-01,Standard_D4s_v3,eastus,web-vm-01,azure,48.1,2024-01-01 03:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-02,Standard_D4s_v3,westeurope,web-vm-02,azure,38.5,2024-01-01 00:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-02,Standard_D4s_v3,westeurope,web-vm-02,azure,41.2,2024-01-01 01:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-02,Standard_D4s_v3,westeurope,web-vm-02,azure,44.7,2024-01-01 02:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/web-vm-02,Standard_D4s_v3,westeurope,web-vm-02,azure,39.9,2024-01-01 03:00:00,128
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/api-vm-01,Standard_D8s_v3,eastus,api-vm-01,azure,62.4,2024-01-01 00:00:00,256
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/api-vm-01,Standard_D8s_v3,eastus,api-vm-01,azure,65.8,2024-01-01 01:00:00,256
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/api-vm-01,Standard_D8s_v3,eastus,api-vm-01,azure,71.2,2024-01-01 02:00:00,256
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/api-vm-01,Standard_D8s_v3,eastus,api-vm-01,azure,68.5,2024-01-01 03:00:00,256
/subscriptions/def-456/resourceGroups/staging-rg/providers/Microsoft.Compute/virtualMachines/test-vm-01,Standard_B2ms,westeurope,test-vm-01,azure,23.5,2024-01-01 00:00:00,64
/subscriptions/def-456/resourceGroups/staging-rg/providers/Microsoft.Compute/virtualMachines/test-vm-01,Standard_B2ms,westeurope,test-vm-01,azure,25.1,2024-01-01 01:00:00,64
/subscriptions/def-456/resourceGroups/staging-rg/providers/Microsoft.Compute/virtualMachines/test-vm-01,Standard_B2ms,westeurope,test-vm-01,azure,28.7,2024-01-01 02:00:00,64
/subscriptions/def-456/resourceGroups/staging-rg/providers/Microsoft.Compute/virtualMachines/test-vm-01,Standard_B2ms,westeurope,test-vm-01,azure,22.3,2024-01-01 03:00:00,64
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/db-vm-01,Standard_E16s_v3,northeurope,db-vm-01,azure,78.2,2024-01-01 00:00:00,512
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/db-vm-01,Standard_E16s_v3,northeurope,db-vm-01,azure,82.5,2024-01-01 01:00:00,512
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/db-vm-01,Standard_E16s_v3,northeurope,db-vm-01,azure,85.1,2024-01-01 02:00:00,512
/subscriptions/abc-123/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/db-vm-01,Standard_E16s_v3,northeurope,db-vm-01,azure,79.8,2024-01-01 03:00:00,512
/subscriptions/ghi-789/resourceGroups/dev-rg/providers/Microsoft.Compute/virtualMachines/dev-vm-01,Standard_D2s_v3,eastus2,dev-vm-01,azure,15.3,2024-01-01 00:00:00,64
/subscriptions/ghi-789/resourceGroups/dev-rg/providers/Microsoft.Compute/virtualMachines/dev-vm-01,Standard_D2s_v3,eastus2,dev-vm-01,azure,18.7,2024-01-01 01:00:00,64
/subscriptions/ghi-789/resourceGroups/dev-rg/providers/Microsoft.Compute/virtualMachines/dev-vm-01,Standard_D2s_v3,eastus2,dev-vm-01,azure,12.4,2024-01-01 02:00:00,64
/subscriptions/ghi-789/resourceGroups/dev-rg/providers/Microsoft.Compute/virtualMachines/dev-vm-01,Standard_D2s_v3,eastus2,dev-vm-01,azure,16.9,2024-01-01 03:00:00,64
